the,6187267
be,4239632
of,3093444
and,2687863
a,2186369
in,1924315
to,1620850
have,1375636
it,1090186
for,887877
i,884599
that,760399
you,695498
he,681255
on,680739
with,675027
do,559596
at,534162
by,517171
not,465486
this,461945
but,459622
from,434532
they,433441
his,426896
she,380257
or,373808
which,372031
as,364164
we,358039
an,343063
say,333518
will,297281
would,272345
can,266116
if,261089
their,260919
go,249540
what,249466
there,239460
all,230737
get,220940
her,218258
make,217268
who,205432
out,201819
up,195426
see,191661
know,185534
time,183427
take,179220
them,173414
some,171174
could,168387
so,167324
him,165014
year,163930
into,163469
its,163081
then,160652
think,153881
my,152619
come,151871
than,147618
more,146029
about,144554
now,143801
last,140063
your,138334
me,138151
no,137026
other,135185
give,131417
just,128517
should,128393
these,125442
people,125430
also,124884
well,124451
any,123655
only,122128
new,115523
very,114911
when,113655
may,113024
way,112636
look,111058
like,110090
use,108820
such,108524
how,103508
because,103003
good,100652
find,98899
man,97985
our,95001
want,94293
day,92699
between,91141
even,90473
many,89659
those,88862
one,86364
after,85939
down,84446
yeah,83382
thing,77612
tell,77245
through,75588
back,75494
still,72774
must,72059
child,71008
here,70947
over,70676
too,70164
put,69978
own,69459
work,67842
become,67219
old,66999
government,66894
mean,66556
part,65773
leave,64447
life,64423
great,64369
where,64118
case,63577
woman,63087
seem,62445
same,62402
us,62350
need,62201
feel,62185
system,61912
each,61492
might,61446
much,61338
ask,60879
group,60689
number,60607
yes,60592
however,60498
another,60182
again,59829
world,59094
area,58449
show,58152
course,57776
company,57754
shall,57056
under,56638
problem,56483
against,56208
never,55899
most,54966
service,54468
try,54422
call,53396
hand,53265
party,52979
high,52703
something,52452
school,52227
small,51626
place,51537
before,51259
why,50877
while,50548
away,50294
keep,50092
point,49187
house,49022
different,48373
country,48177
really,48062
provide,47923
week,47512
hold,47234
large,47185
member,47141
off,46285
always,46228
next,46221
follow,46145
without,45867
turn,45487
end,45160
within,45042
local,44920
during,44013
bring,43894
word,43750
begin,43740
although,43635
example,43402
family,42773
rather,42341
fact,42241
social,41617
write,41497
state,41351
percent,41205
quite,41169
both,41162
start,41029
run,40858
long,40492
right,40460
set,40381
help,40265
every,40114
home,39850
month,39819
side,39626
night,39315
important,39265
eye,39192
head,39000
information,38656
question,38608
business,38204
play,38053
power,37963
money,37892
change,37884
move,37836
interest,37744
order,37736
book,37675
often,37640
development,37386
young,37278
national,37231
pay,36665
hear,36575
room,36360
whether,36169
water,35767
form,35758
car,35295
yet,35058
perhaps,35039
meet,34970
level,34885
until,34807
though,34801
policy,34775
include,34753
believe,34603
council,34496
already,34292
possible,34178
nothing,34064
line,33888
allow,33687
effect,33423
big,33300
lead,32923
stand,32899
idea,32798
study,32786
lot,32733
live,32675
job,32484
since,32404
name,32309
result,32259
body,32231
happen,32075
friend,31927
least,31713
almost,31588
carry,31258
authority,31231
early,31110
view,31102
himself,31082
public,30983
together,30960
talk,30930
report,30857
bit,30675
face,30624
sit,30599
market,30596
appear,30595
continue,30466
able,30454
political,30366
later,30326
hour,30218
rate,30179
law,30169
door,30166
court,29976
office,29943
let,29768
war,29722
produce,29490
reason,29194
less,29147
minister,29141
subject,29091
person,28981
term,28896
particular,28887
full,28836
involve,28772
sort,28760
require,28711
suggest,28665
far,28626
towards,28600
anything,28321
period,28300
consider,28271
read,28216
society,28150
process,28035
mother,27784
offer,27697
late,27673
voice,27665
once,27632
police,27508
kind,27485
lose,27484
add,27367
probably,27303
expect,27221
ever,27195
available,27184
price,27166
little,26953
action,26894
issue,26889
remember,26748
position,26625
low,26616
cost,26556
matter,26304
community,26289
remain,26244
figure,26191
type,26034
research,26018
actually,25990
education,25987
fall,25966
speak,25788
few,25781
today,25775
enough,25635
open,25614
bad,25608
buy,25582
programme,25444
minute,25440
moment,25371
girl,25366
age,25340
centre,25272
stop,25066
control,25041
value,25024
send,24816
health,24527
decide,24380
main,24370
win,24310
understand,24252
decision,24233
develop,24205
class,24148
industry,24144
receive,24111
several,24002
return,23976
build,23931
spend,23799
force,23785
condition,23742
itself,23712
paper,23694
themselves,23673
major,23629
describe,23533
agree,23497
economic,23484
increase,23474
upon,23409
learn,23394
general,23340
century,23259
therefore,23218
father,23216
section,23188
patient,23106
around,23106
activity,23105
road,23103
table,23092
including,23082
church,23008
reach,22992
real,22982
lie,22959
mind,22926
likely,22899
among,22864
team,22781
experience,22751
death,22712
soon,22703
act,22657
sense,22601
staff,22363
certain,22297
student,22237
half,22232
language,22117
walk,22101
die,22087
special,22040
difficult,22033
international,22010
particularly,22002
department,21939
management,21884
morning,21845
draw,21778
hope,21763
across,21763
plan,21727
product,21712
city,21596
committee,21575
ground,21504
letter,21488
create,21470
evidence,21454
foot,21339
clear,21260
boy,21205
game,21181
food,21044
role,21016
practice,20950
bank,20946
else,20919
support,20904
sell,20902
event,20839
building,20770
range,20726
behind,20694
sure,20678
pass,20633
black,20609
stage,20586
meeting,20544
sometimes,20517
thus,20488
accept,20373
town,20170
art,20168
further,20138
club,20113
cause,20091
arm,20089
history,20064
parent,20060
land,20001
trade,19928
watch,19869
white,19865
situation,19856
whose,19833
ago,19808
teacher,19744
record,19639
manager,19636
relation,19628
common,19565
strong,19558
whole,19542
field,19542
free,19539
break,19512
yesterday,19459
window,19340
account,19260
explain,19218
stay,19207
wait,19152
usually,19151
difference,19138
material,19057
air,19046
wife,19039
cover,19015
apply,18982
project,18916
raise,18913
sale,18900
relationship,18866
indeed,18858
light,18853
claim,18828
base,18742
care,18717
someone,18681
everything,18675
certainly,18647
rule,18579
cut,18511
grow,18433
similar,18432
story,18418
quality,18415
tax,18313
worker,18247
nature,18223
structure,18201
data,18188
necessary,18107
pound,18058
method,18044
unit,17958
central,17947
bed,17947
union,17902
movement,17880
board,17878
true,17836
simply,17756
contain,17732
especially,17694
short,17635
personal,17622
detail,17584
model,17553
bear,17461
single,17415
join,17331
reduce,17226
establish,17224
herself,17197
wall,17194
easy,17065
private,17022
computer,16976
former,16973
hospital,16898
chapter,16860
scheme,16804
theory,16776
choose,16731
wish,16647
property,16646
achieve,16628
financial,16622
poor,16579
officer,16555
charge,16503
director,16487
drive,16477
deal,16402
approach,16331
chance,16288
application,16281
seek,16270
cos,16247
foreign,16234
along,16233
top,16176
amount,16138
son,16077
operation,16040
fail,16038
human,16008
opportunity,16002
simple,15911
leader,15903
share,15840
production,15837
recent,15812
firm,15767
picture,15748
source,15747
security,15742
serve,15722
according,15722
contract,15672
wide,15644
occur,15635
agreement,15627
better,15626
kill,15620
site,15602
either,15599
labour,15552
various,15502
test,15491
eat,15446
loss,15442
close,15439
represent,15416
love,15398
colour,15370
clearly,15349
shop,15292
benefit,15251
animal,15250
heart,15242
election,15227
purpose,15159
standard,15156
due,15140
secretary,15106
rise,15106
date,15044
hard,15034
music,15024
hair,15020
prepare,14961
factor,14960
anyone,14956
pattern,14934
manage,14894
piece,14873
discuss,14861
prove,14812
front,14758
evening,14739
royal,14711
tree,14692
population,14664
fine,14650
plant,14638
pressure,14635
response,14627
catch,14627
street,14622
pick,14622
performance,14620
knowledge,14609
despite,14592
design,14565
page,14546
enjoy,14527
individual,14487
suppose,14482
rest,14440
instead,14437
wear,14434
basis,14420
size,14416
environment,14403
per,14402
fire,14379
series,14348
success,14330
natural,14304
wrong,14274
near,14248
round,14244
thought,14214
list,14212
argue,14196
final,14178
future,14174
introduce,14155
analysis,14149
enter,14141
space,14119
arrive,14093
ensure,14032
demand,14025
statement,13990
attention,13968
principle,13877
pull,13852
doctor,13684
choice,13682
refer,13673
feature,13669
couple,13668
step,13625
following,13592
thank,13531
machine,13518
income,13509
training,13503
present,13475
association,13471
film,13466
region,13452
effort,13386
player,13337
everyone,13337
award,13274
village,13249
organisation,13237
whatever,13236
news,13223
nice,13183
difficulty,13177
modern,13156
cell,13153
current,13105
legal,13103
energy,13083
finally,13014
degree,12996
mile,12952
